KPP;OKTMO;CYMMA;KOD PERIODA
722401001;71644440;29112;21 11
722401001;71644440;3733;21 11
722445006;71644425;5868;21 11
722445006;71644425;134;21 11
722445002;71644452;4617;21 11
722445005;71644456;11706;21 11
722445005;71644456;458;21 11
722445001;71644470;10207;21 11
722445001;71644470;6;21 11
722401001;71644440;47509;21 13
722401001;71644440;3239;21 13
722445006;71644425;5284;21 13
722445002;71644452;2896;21 13
722445005;71644456;14088;21 13
722445001;71644470;6702;21 13
722401001;71644440;55381;21 03
722401001;71644440;7202;21 03
722445006;71644425;11081;21 03
722445006;71644425;1475;21 03
722445002;71644452;4482;21 03
722445005;71644456;25644;21 03
722445005;71644456;1989;21 03
722445001;71644470;8579;21 03
722445001;71644470;140;21 03
722445002;71644452;1058;21 03
722401001;71644440;396;21 12
722445006;71644425;930;21 12
722445005;71644456;1699;21 12
722401001;71644440;105888;21 02
722401001;71644440;9084;21 02
722445006;71644425;17845;21 02
722445006;71644425;302;21 02
722445002;71644452;6922;21 02
722445005;71644456;45590;21 02
722445005;71644456;1707;21 02
722445001;71644470;15539;21 02
722445001;71644470;586;21 02
